Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,1,2,1,103645,42598,593378,0.0718,,
2017,1,5,1,402885,165586,2455022,0.0674,,
2017,1,8,1,733857,301615,4634346,0.0651,,
2017,1,9,1,412100,169373,3015481,0.0562,,
2017,1,12,1,2770686,1138752,17722275,0.0643,,
2017,1,17,1,1044642,429348,10556100,0.0407,,
2017,1,20,1,389012,159884,2356231,0.0679,,
2017,1,21,1,779156,320233,3670568,0.0872,,
2017,1,22,1,633111,260209,3807282,0.0683,,
2017,1,25,1,520076,213751,5815595,0.0368,,
2017,1,29,1,633870,260521,5037634,0.0517,,
2017,1,38,1,123893,50920,613251,0.083,,
2017,1,48,1,4141099,1701992,22572383,0.0754,,
2017,1,51,1,807880,332039,7015247,0.0473,,
2017,1,55,1,1387718,570352,4805415,0.1187,,
2017,1,2,2,140499,18124,593378,0.0305,,
2017,1,5,2,451444,58236,2455022,0.0237,,
2017,1,8,2,1146987,147961,4634346,0.0319,,
2017,1,9,2,794732,102520,3015481,0.034,,
2017,1,12,2,5705956,736068,17722275,0.0415,,
2017,1,17,2,2113935,272698,10556100,0.0258,,
2017,1,21,2,736522,95011,3670568,0.0259,,
2017,1,22,2,691735,89234,3807282,0.0234,,
2017,1,25,2,1342858,173229,5815595,0.0298,,
2017,1,29,2,972384,125437,5037634,0.0249,,
2017,1,38,2,96753,12481,613251,0.0204,,
2017,1,41,2,1476304,190443,3468412,0.0549,,
2017,1,48,2,6021965,776833,22572383,0.0344,,
2017,1,51,2,1879813,242496,7015247,0.0346,,
2017,1,55,2,1277174,164756,4805415,0.0343,,
2017,1,2,3,787407,35433,593378,0.0597,,
2017,1,5,3,3400200,153009,2455022,0.0623,,
2017,1,8,3,8181014,368146,4634346,0.0794,,
2017,1,9,3,3450020,155251,3015481,0.0515,,
2017,1,12,3,30220321,1359914,17722275,0.0767,,
2017,1,17,3,15922784,716525,10556100,0.0679,,
2017,1,20,3,4174028,187831,2356231,0.0797,,
2017,1,21,3,5959564,268180,3670568,0.0731,,
2017,1,25,3,8185604,368352,5815595,0.0633,,
2017,1,29,3,9474397,426348,5037634,0.0846,,
2017,1,38,3,1480113,66605,613251,0.1086,,
2017,1,41,3,6073741,273318,3468412,0.0788,,
2017,1,48,3,52609593,2367432,22572383,0.1049,,
2017,1,51,3,10272274,462252,7015247,0.0659,,
2017,2,2,1,120929,49702,593378,0.0838,,
2017,2,5,1,257696,105913,2455022,0.0431,,
2017,2,8,1,929497,382023,4634346,0.0824,,
2017,2,9,1,577939,237533,3015481,0.0788,,
2017,2,12,1,3423792,1407178,17722275,0.0794,,
2017,2,17,1,1419199,583291,10556100,0.0553,,
2017,2,20,1,322364,132492,2356231,0.0562,,
2017,2,21,1,262904,108053,3670568,0.0294,,
2017,2,22,1,700315,287829,3807282,0.0756,,
2017,2,25,1,812741,334037,5815595,0.0574,,
2017,2,29,1,956038,392932,5037634,0.078,,
2017,2,38,1,137002,56308,613251,0.0918,,
2017,2,48,1,2965700,1218903,22572383,0.054,,
2017,2,51,1,830462,341320,7015247,0.0487,,
2017,2,55,1,889002,365380,4805415,0.076,,
2017,2,2,2,163072,21036,593378,0.0355,,
2017,2,5,2,310160,40011,2455022,0.0163,,
2017,2,8,2,1482717,191270,4634346,0.0413,,
2017,2,9,2,1023038,131972,3015481,0.0438,,
2017,2,12,2,6360162,820461,17722275,0.0463,,
2017,2,17,2,2586424,333649,10556100,0.0316,,
2017,2,21,2,244620,31556,3670568,0.0086,,
2017,2,22,2,717754,92590,3807282,0.0243,,
2017,2,25,2,1962634,253180,5815595,0.0435,,
2017,2,29,2,1312305,169287,5037634,0.0336,,
2017,2,38,2,106924,13793,613251,0.0225,,
2017,2,41,2,1085695,140055,3468412,0.0404,,
2017,2,48,2,5353402,690589,22572383,0.0306,,
2017,2,51,2,1903575,245561,7015247,0.035,,
2017,2,55,2,1006746,129870,4805415,0.027,,
2017,2,2,3,845710,38057,593378,0.0641,,
2017,2,5,3,3528088,158764,2455022,0.0647,,
2017,2,8,3,7969597,358632,4634346,0.0774,,
2017,2,9,3,3559873,160194,3015481,0.0531,,
2017,2,12,3,31736910,1428161,17722275,0.0806,,
2017,2,17,3,16802205,756099,10556100,0.0716,,
2017,2,20,3,3870683,174181,2356231,0.0739,,
2017,2,21,3,4533440,204005,3670568,0.0556,,
2017,2,25,3,7809330,351420,5815595,0.0604,,
2017,2,29,3,9010164,405457,5037634,0.0805,,
2017,2,38,3,1495247,67286,613251,0.1097,,
2017,2,41,3,6561339,295260,3468412,0.0851,,
2017,2,48,3,40292159,1813147,22572383,0.0803,,
2017,2,51,3,10261713,461777,7015247,0.0658,,
2017,3,2,1,141033,57964,593378,0.0977,,
2017,3,5,1,289006,118781,2455022,0.0484,,
2017,3,8,1,1154429,474470,4634346,0.1024,,
2017,3,9,1,581433,238969,3015481,0.0792,,
2017,3,12,1,4217222,1733278,17722275,0.0978,,
2017,3,17,1,1767023,726247,10556100,0.0688,,
2017,3,20,1,345188,141872,2356231,0.0602,,
2017,3,21,1,681101,279932,3670568,0.0763,,
2017,3,22,1,814115,334601,3807282,0.0879,,
2017,3,25,1,1212509,498341,5815595,0.0857,,
2017,3,29,1,1064454,437490,5037634,0.0868,,
2017,3,38,1,162070,66611,613251,0.1086,,
2017,3,48,1,2596052,1066977,22572383,0.0473,,
2017,3,51,1,943961,387968,7015247,0.0553,,
2017,3,55,1,919418,377881,4805415,0.0786,,
2017,3,2,2,207743,26799,593378,0.0452,,
2017,3,5,2,303000,39087,2455022,0.0159,,
2017,3,8,2,1516369,195612,4634346,0.0422,,
