,Year,Month,State,Beverage Type,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange,index,positive,totalTestResults,Positivity Rate,Shutdown Length
0,2017,1,Alaska,Spirits,103645,42598,593378,0.0718,,,,,,0.0,0
1,2017,1,Arkansas,Spirits,402885,165586,2455022,0.0674,,,,,,0.0,0
2,2017,1,Colorado,Spirits,733857,301615,4634346,0.0651,,,,,,0.0,31
3,2017,1,Connecticut,Spirits,412100,169373,3015481,0.0562,,,,,,0.0,0
4,2017,1,Florida,Spirits,2770686,1138752,17722275,0.0643,,,,,,0.0,31
5,2017,1,Illinois,Spirits,1044642,429348,10556100,0.0407,,,,,,0.0,70
6,2017,1,Kansas,Spirits,389012,159884,2356231,0.0679,,,,,,0.0,35
7,2017,1,Kentucky,Spirits,779156,320233,3670568,0.0872,,,,,,0.0,0
8,2017,1,Louisiana,Spirits,633111,260209,3807282,0.0683,,,,,,0.0,46
9,2017,1,Massachusetts,Spirits,520076,213751,5815595,0.0368,,,,,,0.0,55
10,2017,1,Missouri,Spirits,633870,260521,5037634,0.0517,,,,,,0.0,27
11,2017,1,North Dakota,Spirits,123893,50920,613251,0.083,,,,,,0.0,0
12,2017,1,Texas,Spirits,4141099,1701992,22572383,0.0754,,,,,,0.0,28
13,2017,1,Virginia,Spirits,807880,332039,7015247,0.0473,,,,,,0.0,0
14,2017,1,Wisconsin,Spirits,1387718,570352,4805415,0.1187,,,,,,0.0,49
15,2017,1,Alaska,Wine,140499,18124,593378,0.0305,,,,,,0.0,0
16,2017,1,Arkansas,Wine,451444,58236,2455022,0.0237,,,,,,0.0,0
17,2017,1,Colorado,Wine,1146987,147961,4634346,0.0319,,,,,,0.0,31
18,2017,1,Connecticut,Wine,794732,102520,3015481,0.034,,,,,,0.0,0
19,2017,1,Florida,Wine,5705956,736068,17722275,0.0415,,,,,,0.0,31
20,2017,1,Illinois,Wine,2113935,272698,10556100,0.0258,,,,,,0.0,70
21,2017,1,Kentucky,Wine,736522,95011,3670568,0.0259,,,,,,0.0,0
22,2017,1,Louisiana,Wine,691735,89234,3807282,0.0234,,,,,,0.0,46
23,2017,1,Massachusetts,Wine,1342858,173229,5815595,0.0298,,,,,,0.0,55
24,2017,1,Missouri,Wine,972384,125437,5037634,0.0249,,,,,,0.0,27
25,2017,1,North Dakota,Wine,96753,12481,613251,0.0204,,,,,,0.0,0
26,2017,1,Oregon,Wine,1476304,190443,3468412,0.0549,,,,,,0.0,0
27,2017,1,Texas,Wine,6021965,776833,22572383,0.0344,,,,,,0.0,28
28,2017,1,Virginia,Wine,1879813,242496,7015247,0.0346,,,,,,0.0,0
29,2017,1,Wisconsin,Wine,1277174,164756,4805415,0.0343,,,,,,0.0,49
30,2017,1,Alaska,Beer,787407,35433,593378,0.0597,,,,,,0.0,0
31,2017,1,Arkansas,Beer,3400200,153009,2455022,0.0623,,,,,,0.0,0
32,2017,1,Colorado,Beer,8181014,368146,4634346,0.0794,,,,,,0.0,31
33,2017,1,Connecticut,Beer,3450020,155251,3015481,0.0515,,,,,,0.0,0
34,2017,1,Florida,Beer,30220321,1359914,17722275,0.0767,,,,,,0.0,31
35,2017,1,Illinois,Beer,15922784,716525,10556100,0.0679,,,,,,0.0,70
36,2017,1,Kansas,Beer,4174028,187831,2356231,0.0797,,,,,,0.0,35
37,2017,1,Kentucky,Beer,5959564,268180,3670568,0.0731,,,,,,0.0,0
38,2017,1,Massachusetts,Beer,8185604,368352,5815595,0.0633,,,,,,0.0,55
39,2017,1,Missouri,Beer,9474397,426348,5037634,0.0846,,,,,,0.0,27
40,2017,1,North Dakota,Beer,1480113,66605,613251,0.1086,,,,,,0.0,0
41,2017,1,Oregon,Beer,6073741,273318,3468412,0.0788,,,,,,0.0,0
42,2017,1,Texas,Beer,52609593,2367432,22572383,0.1049,,,,,,0.0,28
43,2017,1,Virginia,Beer,10272274,462252,7015247,0.0659,,,,,,0.0,0
44,2017,2,Alaska,Spirits,120929,49702,593378,0.0838,,,,,,0.0,0
45,2017,2,Arkansas,Spirits,257696,105913,2455022,0.0431,,,,,,0.0,0
46,2017,2,Colorado,Spirits,929497,382023,4634346,0.0824,,,,,,0.0,31
47,2017,2,Connecticut,Spirits,577939,237533,3015481,0.0788,,,,,,0.0,0
48,2017,2,Florida,Spirits,3423792,1407178,17722275,0.0794,,,,,,0.0,31
49,2017,2,Illinois,Spirits,1419199,583291,10556100,0.0553,,,,,,0.0,70
50,2017,2,Kansas,Spirits,322364,132492,2356231,0.0562,,,,,,0.0,35
51,2017,2,Kentucky,Spirits,262904,108053,3670568,0.0294,,,,,,0.0,0
52,2017,2,Louisiana,Spirits,700315,287829,3807282,0.0756,,,,,,0.0,46
53,2017,2,Massachusetts,Spirits,812741,334037,5815595,0.0574,,,,,,0.0,55
54,2017,2,Missouri,Spirits,956038,392932,5037634,0.078,,,,,,0.0,27
55,2017,2,North Dakota,Spirits,137002,56308,613251,0.0918,,,,,,0.0,0
56,2017,2,Texas,Spirits,2965700,1218903,22572383,0.054000000000000006,,,,,,0.0,28
57,2017,2,Virginia,Spirits,830462,341320,7015247,0.0487,,,,,,0.0,0
58,2017,2,Wisconsin,Spirits,889002,365380,4805415,0.076,,,,,,0.0,49
59,2017,2,Alaska,Wine,163072,21036,593378,0.0355,,,,,,0.0,0
60,2017,2,Arkansas,Wine,310160,40011,2455022,0.0163,,,,,,0.0,0
61,2017,2,Colorado,Wine,1482717,191270,4634346,0.0413,,,,,,0.0,31
62,2017,2,Connecticut,Wine,1023038,131972,3015481,0.0438,,,,,,0.0,0
63,2017,2,Florida,Wine,6360162,820461,17722275,0.0463,,,,,,0.0,31
64,2017,2,Illinois,Wine,2586424,333649,10556100,0.0316,,,,,,0.0,70
65,2017,2,Kentucky,Wine,244620,31556,3670568,0.0086,,,,,,0.0,0
66,2017,2,Louisiana,Wine,717754,92590,3807282,0.0243,,,,,,0.0,46
67,2017,2,Massachusetts,Wine,1962634,253180,5815595,0.0435,,,,,,0.0,55
68,2017,2,Missouri,Wine,1312305,169287,5037634,0.0336,,,,,,0.0,27
69,2017,2,North Dakota,Wine,106924,13793,613251,0.0225,,,,,,0.0,0
70,2017,2,Oregon,Wine,1085695,140055,3468412,0.0404,,,,,,0.0,0
71,2017,2,Texas,Wine,5353402,690589,22572383,0.0306,,,,,,0.0,28
72,2017,2,Virginia,Wine,1903575,245561,7015247,0.035,,,,,,0.0,0
73,2017,2,Wisconsin,Wine,1006746,129870,4805415,0.027000000000000003,,,,,,0.0,49
74,2017,2,Alaska,Beer,845710,38057,593378,0.0641,,,,,,0.0,0
75,2017,2,Arkansas,Beer,3528088,158764,2455022,0.0647,,,,,,0.0,0
76,2017,2,Colorado,Beer,7969597,358632,4634346,0.0774,,,,,,0.0,31
77,2017,2,Connecticut,Beer,3559873,160194,3015481,0.0531,,,,,,0.0,0
78,2017,2,Florida,Beer,31736910,1428161,17722275,0.0806,,,,,,0.0,31
79,2017,2,Illinois,Beer,16802205,756099,10556100,0.0716,,,,,,0.0,70
80,2017,2,Kansas,Beer,3870683,174181,2356231,0.0739,,,,,,0.0,35
81,2017,2,Kentucky,Beer,4533440,204005,3670568,0.0556,,,,,,0.0,0
82,2017,2,Massachusetts,Beer,7809330,351420,5815595,0.0604,,,,,,0.0,55
83,2017,2,Missouri,Beer,9010164,405457,5037634,0.0805,,,,,,0.0,27
84,2017,2,North Dakota,Beer,1495247,67286,613251,0.1097,,,,,,0.0,0
85,2017,2,Oregon,Beer,6561339,295260,3468412,0.0851,,,,,,0.0,0
86,2017,2,Texas,Beer,40292159,1813147,22572383,0.0803,,,,,,0.0,28
87,2017,2,Virginia,Beer,10261713,461777,7015247,0.0658,,,,,,0.0,0
88,2017,3,Alaska,Spirits,141033,57964,593378,0.0977,,,,,,0.0,0
89,2017,3,Arkansas,Spirits,289006,118781,2455022,0.0484,,,,,,0.0,0
90,2017,3,Colorado,Spirits,1154429,474470,4634346,0.1024,,,,,,0.0,31
91,2017,3,Connecticut,Spirits,581433,238969,3015481,0.0792,,,,,,0.0,0
92,2017,3,Florida,Spirits,4217222,1733278,17722275,0.0978,,,,,,0.0,31
93,2017,3,Illinois,Spirits,1767023,726247,10556100,0.0688,,,,,,0.0,70
94,2017,3,Kansas,Spirits,345188,141872,2356231,0.0602,,,,,,0.0,35
95,2017,3,Kentucky,Spirits,681101,279932,3670568,0.0763,,,,,,0.0,0
96,2017,3,Louisiana,Spirits,814115,334601,3807282,0.0879,,,,,,0.0,46
97,2017,3,Massachusetts,Spirits,1212509,498341,5815595,0.0857,,,,,,0.0,55
98,2017,3,Missouri,Spirits,1064454,437490,5037634,0.0868,,,,,,0.0,27
99,2017,3,North Dakota,Spirits,162070,66611,613251,0.1086,,,,,,0.0,0
100,2017,3,Texas,Spirits,2596052,1066977,22572383,0.0473,,,,,,0.0,28
101,2017,3,Virginia,Spirits,943961,387968,7015247,0.0553,,,,,,0.0,0
102,2017,3,Wisconsin,Spirits,919418,377881,4805415,0.0786,,,,,,0.0,49
103,2017,3,Alaska,Wine,207743,26799,593378,0.0452,,,,,,0.0,0
104,2017,3,Arkansas,Wine,303000,39087,2455022,0.0159,,,,,,0.0,0
105,2017,3,Colorado,Wine,1516369,195612,4634346,0.0422,,,,,,0.0,31
106,2017,3,Connecticut,Wine,1297962,167437,3015481,0.0555,,,,,,0.0,0
107,2017,3,Florida,Wine,7206124,929590,17722275,0.0525,,,,,,0.0,31
108,2017,3,Illinois,Wine,3007626,387984,10556100,0.0368,,,,,,0.0,70
109,2017,3,Kentucky,Wine,320378,41329,3670568,0.0113,,,,,,0.0,0
110,2017,3,Louisiana,Wine,849630,109602,3807282,0.0288,,,,,,0.0,46
111,2017,3,Massachusetts,Wine,2722797,351241,5815595,0.0604,,,,,,0.0,55
112,2017,3,Missouri,Wine,1340458,172919,5037634,0.0343,,,,,,0.0,27
113,2017,3,North Dakota,Wine,126127,16270,613251,0.0265,,,,,,0.0,0
114,2017,3,Oregon,Wine,1285169,165787,3468412,0.0478,,,,,,0.0,0
115,2017,3,Texas,Wine,4658826,600989,22572383,0.0266,,,,,,0.0,28
116,2017,3,Virginia,Wine,2205239,284476,7015247,0.0406,,,,,,0.0,0
117,2017,3,Wisconsin,Wine,1022458,131897,4805415,0.0274,,,,,,0.0,49
118,2017,3,Alaska,Beer,1104293,49693,593378,0.0837,,,,,,0.0,0
119,2017,3,Arkansas,Beer,3770863,169689,2455022,0.0691,,,,,,0.0,0
120,2017,3,Colorado,Beer,9848197,443169,4634346,0.0956,,,,,,0.0,31
121,2017,3,Connecticut,Beer,4292946,193183,3015481,0.0641,,,,,,0.0,0
