State,Shutdown Length,National Shutdown Start  Date,Reopen Date,FIPS code
Alaska,42,3/13/2020,4/24/2020,2
Arkansas,54,3/13/2020,5/6/2020,5
Colorado,45,3/13/2020,4/27/2020,8
Connecticut,68,3/13/2020,5/20/2020,9
Florida,52,3/13/2020,5/4/2020,12
Illinois,77,3/13/2020,5/29/2020,17
Kansas,52,3/13/2020,5/4/2020,20
Kentucky,68,3/13/2020,5/20/2020,21
Louisiana,63,3/13/2020,5/15/2020,22
Massachusetts,66,3/13/2020,5/18/2020,25
Missouri,52,3/13/2020,5/4/2020,29
North Dakota,49,3/13/2020,5/1/2020,38
Oregon,63,3/13/2020,5/15/2020,41
Texas,49,3/13/2020,5/1/2020,48
Virginia,63,3/13/2020,5/15/2020,51
Wisconsin,61,3/13/2020,5/13/2020,55
