State,Month,Year,Beverage,Ethanol,PerCapita,,,,,,,,
Alaska,1,2017,Spirits,42598,7.18,,,,,,,,
Alaska,1,2017,Wine,18124,3.05,,,,,,,,
Alaska,1,2017,Beer,35433,5.97,,,Sum of PerCapita,Column Labels,,,,
Alaska,2,2017,Spirits,49702,8.38,,,Row Labels,2017,2018,2019,2020,Grand Total
Alaska,2,2017,Wine,21036,3.55,,,Alaska,279.87,285.64,288.07,135.83,989.41
Alaska,2,2017,Beer,38057,6.41,,,1,16.2,16.46,17.77,18.31,68.74
Alaska,3,2017,Spirits,57964,9.77,,,2,18.34,17.91,18.22,18.87,73.34
Alaska,3,2017,Wine,26799,4.52,,,3,22.66,21.95,21.86,25.01,91.48
Alaska,3,2017,Beer,49693,8.37,,,4,20.85,20.88,22.08,21.23,85.04
Alaska,4,2017,Spirits,54136,9.12,,,5,26.92,28.04,29.34,25.68,109.98
Alaska,4,2017,Wine,21468,3.62,,,6,30.38,29.29,28.64,26.73,115.04
Alaska,4,2017,Beer,48108,8.11,,,7,25.66,29.1,31.64,,86.4
Alaska,5,2017,Spirits,65009,10.96,,,8,30.11,30.08,29.16,,89.35
Alaska,5,2017,Wine,29093,4.9,,,9,22.53,21.87,22.17,,66.57
Alaska,5,2017,Beer,65609,11.06,,,10,20.88,23.31,22.83,,67.02
Alaska,6,2017,Spirits,74444,12.55,,,11,21.93,22.91,21.06,,65.9
Alaska,6,2017,Wine,32537,5.48,,,12,23.41,23.84,23.3,,70.55
Alaska,6,2017,Beer,73304,12.35,,,Arkansas,181.8,178.06,180.76,88.59,629.21
Alaska,7,2017,Spirits,61279,10.33,,,1,15.34,14.09,12.38,13.22,55.03
Alaska,7,2017,Wine,27565,4.65,,,2,12.41,11.93,13.94,13.04,51.32
Alaska,7,2017,Beer,63374,10.68,,,3,13.34,13.58,13.69,12.91,53.52
Alaska,8,2017,Spirits,73012,12.3,,,4,14.94,15.67,15.77,15.65,62.03
Alaska,8,2017,Wine,32067,5.4,,,5,14.61,15.39,14.54,17.15,61.69
Alaska,8,2017,Beer,73643,12.41,,,6,16.16,15.93,17.88,16.62,66.59
Alaska,9,2017,Spirits,59212,9.98,,,7,17.32,15.72,14.91,,47.95
Alaska,9,2017,Wine,25682,4.33,,,8,14.55,14.87,14.6,,44.02
Alaska,9,2017,Beer,48752,8.22,,,9,16.83,16.32,14.85,,48
Alaska,10,2017,Spirits,54797,9.23,,,10,14.65,14.14,15.71,,44.5
Alaska,10,2017,Wine,24217,4.08,,,11,16.48,15.86,17.34,,49.68
Alaska,10,2017,Beer,44904,7.57,,,12,15.17,14.56,15.15,,44.88
Alaska,11,2017,Spirits,60612,10.21,,,Colorado,284.48,288.13,278.53,113.5,964.64
Alaska,11,2017,Wine,25023,4.22,,,1,17.64,18.29,20.31,19.49,75.73
Alaska,11,2017,Beer,44491,7.5,,,2,20.11,19.6,19.99,19.97,79.67
Alaska,12,2017,Spirits,67433,11.36,,,3,24.02,22.49,22.64,26.09,95.24
Alaska,12,2017,Wine,28685,4.83,,,4,20.91,21.17,22.79,22.64,87.51
Alaska,12,2017,Beer,42832,7.22,,,5,25.06,26.46,19.56,25.31,96.39
Alaska,1,2018,Spirits,40474,6.85,,,6,29.63,28.68,27.64,,85.95
Alaska,1,2018,Wine,18400,3.11,,,7,22.05,24.2,25.3,,71.55
Alaska,1,2018,Beer,38406,6.5,,,8,27,27.86,26.78,,81.64
Alaska,2,2018,Spirits,47469,8.04,,,9,22.81,22.29,23.01,,68.11
