State,date,Positive COVID Tests,Total COVID Tests,Month,Day,Year,COVID Positivity Rate
Alaska,10/9/2020,10176.0,493070.0,10 Oct,9,2020,2.06
Alabama,10/9/2020,163465.0,1196452.0,10 Oct,9,2020,13.66
Arkansas,10/9/2020,90145.0,1111526.0,10 Oct,9,2020,8.11
American Samoa,10/9/2020,0.0,1616.0,10 Oct,9,2020,0.0
Arizona,10/9/2020,224084.0,1543445.0,10 Oct,9,2020,14.52
California,10/9/2020,838606.0,15736497.0,10 Oct,9,2020,5.33
Colorado,10/9/2020,75785.0,1496198.0,10 Oct,9,2020,5.07
Connecticut,10/9/2020,60038.0,1796539.0,10 Oct,9,2020,3.34
District of Columbia,10/9/2020,15843.0,422225.0,10 Oct,9,2020,3.75
Delaware,10/9/2020,21827.0,304367.0,10 Oct,9,2020,7.17
Florida,10/9/2020,728921.0,5518162.0,10 Oct,9,2020,13.21
Georgia,10/9/2020,329032.0,3112629.0,10 Oct,9,2020,10.57
Guam,10/9/2020,2989.0,54495.0,10 Oct,9,2020,5.48
Hawaii,10/9/2020,13333.0,443992.0,10 Oct,9,2020,3.0
Iowa,10/9/2020,93187.0,808801.0,10 Oct,9,2020,11.52
Idaho,10/9/2020,46426.0,326789.0,10 Oct,9,2020,14.21
Illinois,10/9/2020,316556.0,6180417.0,10 Oct,9,2020,5.12
Indiana,10/9/2020,131493.0,1463436.0,10 Oct,9,2020,8.99
Kansas,10/9/2020,65807.0,560189.0,10 Oct,9,2020,11.75
Kentucky,10/9/2020,78456.0,1525264.0,10 Oct,9,2020,5.14
Louisiana,10/9/2020,173406.0,2450087.0,10 Oct,9,2020,7.08
Massachusetts,10/9/2020,137701.0,4601434.0,10 Oct,9,2020,2.99
Maryland,10/9/2020,130159.0,1707367.0,10 Oct,9,2020,7.62
Maine,10/9/2020,5666.0,491052.0,10 Oct,9,2020,1.15
Michigan,10/9/2020,147816.0,3965016.0,10 Oct,9,2020,3.73
Minnesota,10/9/2020,109312.0,2256165.0,10 Oct,9,2020,4.85
Missouri,10/9/2020,139164.0,2000979.0,10 Oct,9,2020,6.95
Northern Mariana Islands,10/9/2020,75.0,15196.0,10 Oct,9,2020,0.49
Mississippi,10/9/2020,103681.0,808336.0,10 Oct,9,2020,12.83
Montana,10/9/2020,17399.0,386746.0,10 Oct,9,2020,4.5
North Carolina,10/9/2020,227431.0,3311285.0,10 Oct,9,2020,6.87
North Dakota,10/9/2020,26040.0,670039.0,10 Oct,9,2020,3.89
Nebraska,10/9/2020,50059.0,494467.0,10 Oct,9,2020,10.12
New Hampshire,10/9/2020,8878.0,482118.0,10 Oct,9,2020,1.84
New Jersey,10/9/2020,212013.0,3878988.0,10 Oct,9,2020,5.47
New Mexico,10/9/2020,31756.0,973945.0,10 Oct,9,2020,3.26
Nevada,10/9/2020,84593.0,730234.0,10 Oct,9,2020,11.58
New York,10/9/2020,471696.0,11786740.0,10 Oct,9,2020,4.0
Ohio,10/9/2020,166102.0,3537962.0,10 Oct,9,2020,4.69
Oklahoma,10/9/2020,97088.0,1321971.0,10 Oct,9,2020,7.34
Oregon,10/9/2020,36526.0,730671.0,10 Oct,9,2020,5.0
Pennsylvania,10/9/2020,169308.0,2169073.0,10 Oct,9,2020,7.81
Puerto Rico,10/9/2020,52892.0,358864.0,10 Oct,9,2020,14.74
Rhode Island,10/9/2020,26294.0,864638.0,10 Oct,9,2020,3.04
South Carolina,10/9/2020,155676.0,1452568.0,10 Oct,9,2020,10.72
South Dakota,10/9/2020,27215.0,214153.0,10 Oct,9,2020,12.71
Tennesee,10/9/2020,211003.0,3116772.0,10 Oct,9,2020,6.77
Texas,10/9/2020,785830.0,6746030.0,10 Oct,9,2020,11.65
Utah,10/9/2020,83290.0,901048.0,10 Oct,9,2020,9.24
Virginia,10/9/2020,156649.0,2219510.0,10 Oct,9,2020,7.06
Virgin Islands,10/9/2020,1324.0,21758.0,10 Oct,9,2020,6.09
Vermont,10/9/2020,1846.0,170439.0,10 Oct,9,2020,1.08
Washington,10/9/2020,91918.0,2016471.0,10 Oct,9,2020,4.56
Wisconsin,10/9/2020,152631.0,1671293.0,10 Oct,9,2020,9.13
West Virginia,10/9/2020,17707.0,617623.0,10 Oct,9,2020,2.87
Wyoming,10/9/2020,7335.0,110511.0,10 Oct,9,2020,6.64
Alaska,10/8/2020,9996.0,491171.0,10 Oct,8,2020,2.04
Alabama,10/8/2020,161975.0,1184710.0,10 Oct,8,2020,13.67
Arkansas,10/8/2020,90145.0,1111526.0,10 Oct,8,2020,8.11
American Samoa,10/8/2020,0.0,1616.0,10 Oct,8,2020,0.0
Arizona,10/8/2020,223401.0,1531095.0,10 Oct,8,2020,14.59
California,10/8/2020,834800.0,15623623.0,10 Oct,8,2020,5.34
Colorado,10/8/2020,74922.0,1477301.0,10 Oct,8,2020,5.07
Connecticut,10/8/2020,59748.0,1779258.0,10 Oct,8,2020,3.36
District of Columbia,10/8/2020,15765.0,416816.0,10 Oct,8,2020,3.78
Delaware,10/8/2020,21682.0,301502.0,10 Oct,8,2020,7.19
Florida,10/8/2020,726013.0,5489758.0,10 Oct,8,2020,13.22
Georgia,10/8/2020,327407.0,3083121.0,10 Oct,8,2020,10.62
Guam,10/8/2020,2934.0,54071.0,10 Oct,8,2020,5.43
Hawaii,10/8/2020,13232.0,440089.0,10 Oct,8,2020,3.01
Iowa,10/8/2020,92145.0,803037.0,10 Oct,8,2020,11.47
Idaho,10/8/2020,45753.0,324328.0,10 Oct,8,2020,14.11
Illinois,10/8/2020,313439.0,6108519.0,10 Oct,8,2020,5.13
Indiana,10/8/2020,129677.0,1451391.0,10 Oct,8,2020,8.93
Kansas,10/8/2020,63952.0,549398.0,10 Oct,8,2020,11.64
Kentucky,10/8/2020,77455.0,1500613.0,10 Oct,8,2020,5.16
Louisiana,10/8/2020,173149.0,2440215.0,10 Oct,8,2020,7.1
Massachusetts,10/8/2020,136936.0,4541516.0,10 Oct,8,2020,3.02
Maryland,10/8/2020,129425.0,1696299.0,10 Oct,8,2020,7.63
Maine,10/8/2020,5639.0,482615.0,10 Oct,8,2020,1.17
Michigan,10/8/2020,146493.0,3921840.0,10 Oct,8,2020,3.74
Minnesota,10/8/2020,107922.0,2224194.0,10 Oct,8,2020,4.85
Missouri,10/8/2020,137156.0,1979390.0,10 Oct,8,2020,6.93
Northern Mariana Islands,10/8/2020,75.0,15196.0,10 Oct,8,2020,0.49
Mississippi,10/8/2020,102819.0,807474.0,10 Oct,8,2020,12.73
Montana,10/8/2020,16677.0,381665.0,10 Oct,8,2020,4.37
North Carolina,10/8/2020,225397.0,3268955.0,10 Oct,8,2020,6.9
North Dakota,10/8/2020,25384.0,661206.0,10 Oct,8,2020,3.84
Nebraska,10/8/2020,49396.0,490130.0,10 Oct,8,2020,10.08
New Hampshire,10/8/2020,8878.0,482118.0,10 Oct,8,2020,1.84
New Jersey,10/8/2020,211148.0,3842667.0,10 Oct,8,2020,5.49
New Mexico,10/8/2020,31372.0,965319.0,10 Oct,8,2020,3.25
Nevada,10/8/2020,83827.0,724198.0,10 Oct,8,2020,11.58
New York,10/8/2020,470104.0,11647440.0,10 Oct,8,2020,4.04
Ohio,10/8/2020,164262.0,3489730.0,10 Oct,8,2020,4.71
Oklahoma,10/8/2020,95564.0,1304870.0,10 Oct,8,2020,7.32
Oregon,10/8/2020,35634.0,718568.0,10 Oct,8,2020,4.96
Pennsylvania,10/8/2020,167928.0,2153031.0,10 Oct,8,2020,7.8
Puerto Rico,10/8/2020,52294.0,358266.0,10 Oct,8,2020,14.6
Rhode Island,10/8/2020,26045.0,859429.0,10 Oct,8,2020,3.03
South Carolina,10/8/2020,154755.0,1430639.0,10 Oct,8,2020,10.82
South Dakota,10/8/2020,26411.0,211291.0,10 Oct,8,2020,12.5
Tennesee,10/8/2020,209447.0,3089853.0,10 Oct,8,2020,6.78
Texas,10/8/2020,781794.0,6703106.0,10 Oct,8,2020,11.66
Utah,10/8/2020,81947.0,892022.0,10 Oct,8,2020,9.19
Virginia,10/8/2020,155535.0,2189792.0,10 Oct,8,2020,7.1
Virgin Islands,10/8/2020,1322.0,21688.0,10 Oct,8,2020,6.1
Vermont,10/8/2020,1838.0,169402.0,10 Oct,8,2020,1.08
Washington,10/8/2020,91208.0,1987477.0,10 Oct,8,2020,4.59
Wisconsin,10/8/2020,149467.0,1656295.0,10 Oct,8,2020,9.02
West Virginia,10/8/2020,17325.0,609660.0,10 Oct,8,2020,2.84
Wyoming,10/8/2020,7092.0,108942.0,10 Oct,8,2020,6.51
Alaska,10/7/2020,9861.0,490074.0,10 Oct,7,2020,2.01
Alabama,10/7/2020,161418.0,1180818.0,10 Oct,7,2020,13.67
Arkansas,10/7/2020,88880.0,1097556.0,10 Oct,7,2020,8.1
American Samoa,10/7/2020,0.0,1616.0,10 Oct,7,2020,0.0
Arizona,10/7/2020,222538.0,1518694.0,10 Oct,7,2020,14.65
California,10/7/2020,831225.0,15556706.0,10 Oct,7,2020,5.34
Colorado,10/7/2020,74191.0,1459332.0,10 Oct,7,2020,5.08
Connecticut,10/7/2020,59364.0,1752045.0,10 Oct,7,2020,3.39
District of Columbia,10/7/2020,15697.0,412656.0,10 Oct,7,2020,3.8
Delaware,10/7/2020,21550.0,299173.0,10 Oct,7,2020,7.2
Florida,10/7/2020,722707.0,5459711.0,10 Oct,7,2020,13.24
Georgia,10/7/2020,326142.0,3058187.0,10 Oct,7,2020,10.66
Guam,10/7/2020,2868.0,53488.0,10 Oct,7,2020,5.36
Hawaii,10/7/2020,13124.0,436498.0,10 Oct,7,2020,3.01
Iowa,10/7/2020,90884.0,796057.0,10 Oct,7,2020,11.42
Idaho,10/7/2020,45082.0,321794.0,10 Oct,7,2020,14.01
Illinois,10/7/2020,310380.0,6036028.0,10 Oct,7,2020,5.14
Indiana,10/7/2020,128227.0,1440917.0,10 Oct,7,2020,8.9
Kansas,10/7/2020,63952.0,549398.0,10 Oct,7,2020,11.64
Kentucky,10/7/2020,76587.0,1481331.0,10 Oct,7,2020,5.17
Louisiana,10/7/2020,172625.0,2427915.0,10 Oct,7,2020,7.11
Massachusetts,10/7/2020,136492.0,4478131.0,10 Oct,7,2020,3.05
Maryland,10/7/2020,128664.0,1683904.0,10 Oct,7,2020,7.64
Maine,10/7/2020,5604.0,475749.0,10 Oct,7,2020,1.18
Michigan,10/7/2020,145092.0,3879635.0,10 Oct,7,2020,3.74
Minnesota,10/7/2020,106651.0,2195882.0,10 Oct,7,2020,4.86
Missouri,10/7/2020,135651.0,1958461.0,10 Oct,7,2020,6.93
Northern Mariana Islands,10/7/2020,75.0,15196.0,10 Oct,7,2020,0.49
Mississippi,10/7/2020,102241.0,806896.0,10 Oct,7,2020,12.67
Montana,10/7/2020,16063.0,376176.0,10 Oct,7,2020,4.27
North Carolina,10/7/2020,222969.0,3235273.0,10 Oct,7,2020,6.89
North Dakota,10/7/2020,24857.0,654648.0,10 Oct,7,2020,3.8
Nebraska,10/7/2020,48757.0,485994.0,10 Oct,7,2020,10.03
New Hampshire,10/7/2020,8800.0,476514.0,10 Oct,7,2020,1.85
New Jersey,10/7/2020,209850.0,3781810.0,10 Oct,7,2020,5.55
New Mexico,10/7/2020,30947.0,960934.0,10 Oct,7,2020,3.22
Nevada,10/7/2020,83347.0,720509.0,10 Oct,7,2020,11.57
New York,10/7/2020,468268.0,11501629.0,10 Oct,7,2020,4.07
Ohio,10/7/2020,162723.0,3458869.0,10 Oct,7,2020,4.7
Oklahoma,10/7/2020,94352.0,1290623.0,10 Oct,7,2020,7.31
Oregon,10/7/2020,35634.0,718568.0,10 Oct,7,2020,4.96
Pennsylvania,10/7/2020,166552.0,2134094.0,10 Oct,7,2020,7.8
Puerto Rico,10/7/2020,51768.0,357740.0,10 Oct,7,2020,14.47
Rhode Island,10/7/2020,25776.0,838482.0,10 Oct,7,2020,3.07
South Carolina,10/7/2020,153705.0,1410596.0,10 Oct,7,2020,10.9
South Dakota,10/7/2020,25906.0,208780.0,10 Oct,7,2020,12.41
Tennesee,10/7/2020,207455.0,3062543.0,10 Oct,7,2020,6.77
Texas,10/7/2020,777556.0,6664440.0,10 Oct,7,2020,11.67
Utah,10/7/2020,80446.0,881440.0,10 Oct,7,2020,9.13
Virginia,10/7/2020,153691.0,2170313.0,10 Oct,7,2020,7.08
Virgin Islands,10/7/2020,1321.0,21594.0,10 Oct,7,2020,6.12
Vermont,10/7/2020,1827.0,168021.0,10 Oct,7,2020,1.09
Washington,10/7/2020,90663.0,1961067.0,10 Oct,7,2020,4.62
Wisconsin,10/7/2020,146193.0,1639497.0,10 Oct,7,2020,8.92
West Virginia,10/7/2020,17139.0,603345.0,10 Oct,7,2020,2.84
Wyoming,10/7/2020,6899.0,107845.0,10 Oct,7,2020,6.4
Alaska,10/6/2020,9587.0,479374.0,10 Oct,6,2020,2.0
Alabama,10/6/2020,160477.0,1172847.0,10 Oct,6,2020,13.68
Arkansas,10/6/2020,88071.0,1087671.0,10 Oct,6,2020,8.1
American Samoa,10/6/2020,0.0,1616.0,10 Oct,6,2020,0.0
Arizona,10/6/2020,221934.0,1511427.0,10 Oct,6,2020,14.68
California,10/6/2020,828461.0,15430421.0,10 Oct,6,2020,5.37
Colorado,10/6/2020,73537.0,1444262.0,10 Oct,6,2020,5.09
Connecticut,10/6/2020,59241.0,1744434.0,10 Oct,6,2020,3.4
District of Columbia,10/6/2020,15652.0,410029.0,10 Oct,6,2020,3.82
Delaware,10/6/2020,21466.0,297513.0,10 Oct,6,2020,7.22
Florida,10/6/2020,720125.0,5433578.0,10 Oct,6,2020,13.25
Georgia,10/6/2020,324650.0,3044792.0,10 Oct,6,2020,10.66
Guam,10/6/2020,2814.0,53012.0,10 Oct,6,2020,5.31
Hawaii,10/6/2020,13041.0,433154.0,10 Oct,6,2020,3.01
Iowa,10/6/2020,89934.0,790843.0,10 Oct,6,2020,11.37
Idaho,10/6/2020,44422.0,319945.0,10 Oct,6,2020,13.88
Illinois,10/6/2020,307750.0,5977208.0,10 Oct,6,2020,5.15
