State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Alaska,2017,01 Jan,Spirits,42598,593378,7.18,,
Arkansas,2017,01 Jan,Spirits,165586,2455022,6.74,,
Colorado,2017,01 Jan,Spirits,301615,4634346,6.51,,
Connecticut,2017,01 Jan,Spirits,169373,3015481,5.62,,
Florida,2017,01 Jan,Spirits,1138752,17722275,6.43,,
Illinois,2017,01 Jan,Spirits,429348,10556100,4.07,,
Kansas,2017,01 Jan,Spirits,159884,2356231,6.79,,
Kentucky,2017,01 Jan,Spirits,320233,3670568,8.72,,
Louisiana,2017,01 Jan,Spirits,260209,3807282,6.83,,
Massachusetts,2017,01 Jan,Spirits,213751,5815595,3.68,,
Missouri,2017,01 Jan,Spirits,260521,5037634,5.17,,
North Dakota,2017,01 Jan,Spirits,50920,613251,8.3,,
Texas,2017,01 Jan,Spirits,1701992,22572383,7.54,,
Virginia,2017,01 Jan,Spirits,332039,7015247,4.73,,
Wisconsin,2017,01 Jan,Spirits,570352,4805415,11.87,,
Alaska,2017,01 Jan,Wine,18124,593378,3.05,,
Arkansas,2017,01 Jan,Wine,58236,2455022,2.37,,
Colorado,2017,01 Jan,Wine,147961,4634346,3.19,,
Connecticut,2017,01 Jan,Wine,102520,3015481,3.4,,
Florida,2017,01 Jan,Wine,736068,17722275,4.15,,
Illinois,2017,01 Jan,Wine,272698,10556100,2.58,,
Kentucky,2017,01 Jan,Wine,95011,3670568,2.59,,
Louisiana,2017,01 Jan,Wine,89234,3807282,2.34,,
Massachusetts,2017,01 Jan,Wine,173229,5815595,2.98,,
Missouri,2017,01 Jan,Wine,125437,5037634,2.49,,
North Dakota,2017,01 Jan,Wine,12481,613251,2.04,,
Oregon,2017,01 Jan,Wine,190443,3468412,5.49,,
Texas,2017,01 Jan,Wine,776833,22572383,3.44,,
Virginia,2017,01 Jan,Wine,242496,7015247,3.46,,
Wisconsin,2017,01 Jan,Wine,164756,4805415,3.43,,
Alaska,2017,01 Jan,Beer,35433,593378,5.97,,
Arkansas,2017,01 Jan,Beer,153009,2455022,6.23,,
Colorado,2017,01 Jan,Beer,368146,4634346,7.94,,
Connecticut,2017,01 Jan,Beer,155251,3015481,5.15,,
Florida,2017,01 Jan,Beer,1359914,17722275,7.67,,
Illinois,2017,01 Jan,Beer,716525,10556100,6.79,,
Kansas,2017,01 Jan,Beer,187831,2356231,7.97,,
Kentucky,2017,01 Jan,Beer,268180,3670568,7.31,,
Massachusetts,2017,01 Jan,Beer,368352,5815595,6.33,,
Missouri,2017,01 Jan,Beer,426348,5037634,8.46,,
North Dakota,2017,01 Jan,Beer,66605,613251,10.86,,
Oregon,2017,01 Jan,Beer,273318,3468412,7.88,,
Texas,2017,01 Jan,Beer,2367432,22572383,10.49,,
Virginia,2017,01 Jan,Beer,462252,7015247,6.59,,
Alaska,2017,02 Feb,Spirits,49702,593378,8.38,,
Arkansas,2017,02 Feb,Spirits,105913,2455022,4.31,,
Colorado,2017,02 Feb,Spirits,382023,4634346,8.24,,
Connecticut,2017,02 Feb,Spirits,237533,3015481,7.88,,
Florida,2017,02 Feb,Spirits,1407178,17722275,7.94,,
Illinois,2017,02 Feb,Spirits,583291,10556100,5.53,,
Kansas,2017,02 Feb,Spirits,132492,2356231,5.62,,
Kentucky,2017,02 Feb,Spirits,108053,3670568,2.94,,
Louisiana,2017,02 Feb,Spirits,287829,3807282,7.56,,
Massachusetts,2017,02 Feb,Spirits,334037,5815595,5.74,,
Missouri,2017,02 Feb,Spirits,392932,5037634,7.8,,
North Dakota,2017,02 Feb,Spirits,56308,613251,9.18,,
Texas,2017,02 Feb,Spirits,1218903,22572383,5.4,,
Virginia,2017,02 Feb,Spirits,341320,7015247,4.87,,
Wisconsin,2017,02 Feb,Spirits,365380,4805415,7.6,,
Alaska,2017,02 Feb,Wine,21036,593378,3.55,,
Arkansas,2017,02 Feb,Wine,40011,2455022,1.63,,
Colorado,2017,02 Feb,Wine,191270,4634346,4.13,,
Connecticut,2017,02 Feb,Wine,131972,3015481,4.38,,
Florida,2017,02 Feb,Wine,820461,17722275,4.63,,
Illinois,2017,02 Feb,Wine,333649,10556100,3.16,,
Kentucky,2017,02 Feb,Wine,31556,3670568,0.86,,
Louisiana,2017,02 Feb,Wine,92590,3807282,2.43,,
Massachusetts,2017,02 Feb,Wine,253180,5815595,4.35,,
Missouri,2017,02 Feb,Wine,169287,5037634,3.36,,
North Dakota,2017,02 Feb,Wine,13793,613251,2.25,,
Oregon,2017,02 Feb,Wine,140055,3468412,4.04,,
Texas,2017,02 Feb,Wine,690589,22572383,3.06,,
Virginia,2017,02 Feb,Wine,245561,7015247,3.5,,
Wisconsin,2017,02 Feb,Wine,129870,4805415,2.7,,
Alaska,2017,02 Feb,Beer,38057,593378,6.41,,
Arkansas,2017,02 Feb,Beer,158764,2455022,6.47,,
Colorado,2017,02 Feb,Beer,358632,4634346,7.74,,
Connecticut,2017,02 Feb,Beer,160194,3015481,5.31,,
Florida,2017,02 Feb,Beer,1428161,17722275,8.06,,
Illinois,2017,02 Feb,Beer,756099,10556100,7.16,,
Kansas,2017,02 Feb,Beer,174181,2356231,7.39,,
Kentucky,2017,02 Feb,Beer,204005,3670568,5.56,,
Massachusetts,2017,02 Feb,Beer,351420,5815595,6.04,,
Missouri,2017,02 Feb,Beer,405457,5037634,8.05,,
North Dakota,2017,02 Feb,Beer,67286,613251,10.97,,
Oregon,2017,02 Feb,Beer,295260,3468412,8.51,,
Texas,2017,02 Feb,Beer,1813147,22572383,8.03,,
Virginia,2017,02 Feb,Beer,461777,7015247,6.58,,
Alaska,2017,03 Mar,Spirits,57964,593378,9.77,,
Arkansas,2017,03 Mar,Spirits,118781,2455022,4.84,,
Colorado,2017,03 Mar,Spirits,474470,4634346,10.24,,
Connecticut,2017,03 Mar,Spirits,238969,3015481,7.92,,
Florida,2017,03 Mar,Spirits,1733278,17722275,9.78,,
Illinois,2017,03 Mar,Spirits,726247,10556100,6.88,,
Kansas,2017,03 Mar,Spirits,141872,2356231,6.02,,
Kentucky,2017,03 Mar,Spirits,279932,3670568,7.63,,
Louisiana,2017,03 Mar,Spirits,334601,3807282,8.79,,
Massachusetts,2017,03 Mar,Spirits,498341,5815595,8.57,,
Missouri,2017,03 Mar,Spirits,437490,5037634,8.68,,
North Dakota,2017,03 Mar,Spirits,66611,613251,10.86,,
Texas,2017,03 Mar,Spirits,1066977,22572383,4.73,,
Virginia,2017,03 Mar,Spirits,387968,7015247,5.53,,
Wisconsin,2017,03 Mar,Spirits,377881,4805415,7.86,,
Alaska,2017,03 Mar,Wine,26799,593378,4.52,,
Arkansas,2017,03 Mar,Wine,39087,2455022,1.59,,
Colorado,2017,03 Mar,Wine,195612,4634346,4.22,,
Connecticut,2017,03 Mar,Wine,167437,3015481,5.55,,
Florida,2017,03 Mar,Wine,929590,17722275,5.25,,
Illinois,2017,03 Mar,Wine,387984,10556100,3.68,,
Kentucky,2017,03 Mar,Wine,41329,3670568,1.13,,
Louisiana,2017,03 Mar,Wine,109602,3807282,2.88,,
Massachusetts,2017,03 Mar,Wine,351241,5815595,6.04,,
Missouri,2017,03 Mar,Wine,172919,5037634,3.43,,
North Dakota,2017,03 Mar,Wine,16270,613251,2.65,,
Oregon,2017,03 Mar,Wine,165787,3468412,4.78,,
Texas,2017,03 Mar,Wine,600989,22572383,2.66,,
Virginia,2017,03 Mar,Wine,284476,7015247,4.06,,
Wisconsin,2017,03 Mar,Wine,131897,4805415,2.74,,
Alaska,2017,03 Mar,Beer,49693,593378,8.37,,
Arkansas,2017,03 Mar,Beer,169689,2455022,6.91,,
Colorado,2017,03 Mar,Beer,443169,4634346,9.56,,
Connecticut,2017,03 Mar,Beer,193183,3015481,6.41,,
Florida,2017,03 Mar,Beer,1819369,17722275,10.27,,
Illinois,2017,03 Mar,Beer,946462,10556100,8.97,,
Kansas,2017,03 Mar,Beer,175160,2356231,7.43,,
Kentucky,2017,03 Mar,Beer,282885,3670568,7.71,,
Massachusetts,2017,03 Mar,Beer,471045,5815595,8.1,,
Missouri,2017,03 Mar,Beer,500537,5037634,9.94,,
North Dakota,2017,03 Mar,Beer,71916,613251,11.73,,
Oregon,2017,03 Mar,Beer,315050,3468412,9.08,,
Texas,2017,03 Mar,Beer,1927873,22572383,8.54,,
Virginia,2017,03 Mar,Beer,552583,7015247,7.88,,
Alaska,2017,04 Apr,Spirits,54136,593378,9.12,,
Arkansas,2017,04 Apr,Spirits,134302,2455022,5.47,,
Colorado,2017,04 Apr,Spirits,388608,4634346,8.39,,
